id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
10448777709790852446,8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,uadolfoi,uai.cl,126108,Particle Phenomenology Beyond the Standard Model Long-Lived Particles Higgs 
10448777709790852446,OKfYDv0AAAAJ,Andrés Jordán,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,17351,Exoplanets protoplanetary and debris disks early-type galaxies globular clusters 
10448777709790852446,RfGKP34AAAAJ,José Luis Campos,"Facultad de Ingeniería y Ciencias, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,11781,Wastewater treatment 
10448777709790852446,aShVsHsAAAAJ,Sandra Milberg,"Professor of Marketing, Universidad Adolfo Ibañez",uadolfoi,uai.cl,10069,Consumer Behavior Branding Decision Making Information Privacy 
10448777709790852446,Js0nhfIAAAAJ,Bernardo R. Broitman,"Professor, Departamento de Ciencias, Facultad Artes Liberales, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,6730,Biophysical forcing Coastal ecosystems Biogeography 
10448777709790852446,S2EpBmkAAAAJ,Tito Homem-de-Mello,Professor. School of Business. Universidad Adolfo Ibañez.,uadolfoi,uai.cl,5570,Optimization under uncertainty. 
10448777709790852446,ZxW_BhoAAAAJ,"Constanza Bianchi, PhD",Universidad Adolfo Ibañez - Queensland University of Technology,uadolfoi,uai.cl,5413,International marketing 
10448777709790852446,w742qQgAAAAJ,Daniel Olivares Quero,"Associate Professor, Faculty of Engineering and Sciences, Universidad Adolfo Ibañez",uadolfoi,uai.cl,4878,Power & Energy Systems Smartgrids Microgrids Applied Optimization. 
10448777709790852446,724ME-oAAAAJ,Gijs D Mulders,"Assistant Professor, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,4668,exoplanet astronomy 
10448777709790852446,lSbD6y8AAAAJ,Bernardo González,Universidad Adolfo Ibáñez. Universidad Católica de Chile,uadolfoi,uai.cl,4632,
10448777709790852446,zmkA7uwAAAAJ,Andrea Repetto,Universidad Adolfo Ibañez,uadolfoi,uai.cl,4475,Applied Economics 
10448777709790852446,0ibegmYAAAAJ,Jacques Dumais,"Professor of Bioengineering, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,4455,cell mechanics cell morphogenesis cell division fog collection 
10448777709790852446,VQchlPYAAAAJ,joris van de klundert,"School of Business, Universidad Adolfo Ibanez",uadolfoi,uai.cl,3983,Operations Health Services 
10448777709790852446,xd4Wp9wAAAAJ,Gary O'Donovan,"BrainLat, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,3963,Physical activity and health 
10448777709790852446,3ZKkR_gAAAAJ,Marco A Lardies,Universidad Adolfo Ibañez,uadolfoi,uai.cl,3820,ecology evolution environmental sciences evolutionary ecology marine biology 
10448777709790852446,3ut4Mn0AAAAJ,Roberto Cominetti,Universidad Adolfo Ibáñez (Chile),uadolfoi,uai.cl,3703,Convex Analysis Optimization Game Theory Transportation 
10448777709790852446,jGAelSwAAAAJ,Rafael Brahm,Universidad Adolfo Ibañez,uadolfoi,uai.cl,3251,Astronomía 
10448777709790852446,QASCP9kAAAAJ,Daniel Chernilo,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,2790,philosophical sociology social theory sociology cosmopolitanism nationalism 
10448777709790852446,6wMud9YAAAAJ,David Huepe,Center for Social and Cognitive Neuroscience (CSCN) School of Psychology - Adolfo Ibañez …,uadolfoi,uai.cl,2769,Social Neuroscience Social Cognition Psychology 
10448777709790852446,Qlo5BzAAAAAJ,Viviana Fernandez,Universidad Adolfo Ibañez,uadolfoi,uai.cl,2314,Financial Economics Econometrics Mineral economics 
10448777709790852446,Z8zHERAAAAAJ,Claudio Bravo Ortega,"Escuela de Negocios, Universidad Adolfo Ibañez",uadolfoi,uai.cl,2259,Innovación Crecimiento Economico y Economía Politica 
10448777709790852446,hJpGLI4AAAAJ,Rodrigo Wagner,"Business School - Universidad Adolfo Ibañez (Chile) &  Growth Lab ( CID, Harvard)",uadolfoi,uai.cl,2111,international finance entrepreneurial finance growth emerging markets 
10448777709790852446,V2IQltIAAAAJ,Jordi Pereira,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,2086,Combinatorial Optimization Assembly line balancing Network Design Scheduling 
