id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
17255630398072300451,IP0KMQwAAAAJ,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),ucn,ucn.cl,8316,Astrophysics 
17255630398072300451,jI8ORYEAAAAJ,Alonso Vega Reyes,Programa de Doctorado Biologia y Ecologia Aplicada - Universidad Católica del Norte,ucn,ucn.cl,6904,Ecologia Conservación Evaluacion de Impacto Ambiental 
17255630398072300451,FgrbovAAAAAJ,Alfonso Urzúa,"Escuela de Psicología, Universidad Católica del Norte",ucn,ucn.cl,6792,Psicología de la Salud Psicología Calidad de Vida Bienestar Inmigración 
17255630398072300451,5kJLBzoAAAAJ,Guillermo Chong,"Doctor en Geología, Universidad Católica del Norte",ucn,ucn.cl,5526,Geología 
17255630398072300451,Q_FuTD8AAAAJ,Julio A Vásquez,"Prof. Titular Departamento de Biología Marina, Universidad Católica del Norte",ucn,ucn.cl,5354,ecología marina manejo conservación algas pardas 
17255630398072300451,ULIXRvMAAAAJ,Sarfaraz Hashemkhani Zolfani,"Assistant Professor, School of Engineering, Universidad Catolica del Norte",ucn,ucn.cl,4904,MCDM Strategic Management Technology Foresight Prospective MADM Sustainability 
17255630398072300451,L_JJ6V4AAAAJ,Javier Sellanes,"Professor, Universidad Catolica del Norte",ucn,ucn.cl,3469,deep sea ecology invertebrate taxonomy chemosynthetic fauna 
17255630398072300451,ySXqTIIAAAAJ,Gabino Garrido,"Académico, Farmacognosia, Fitoterapia y Fitofarmacologia, Universidad Católica del Norte",ucn,ucn.cl,3162,pharmacology pharmacognosy toxicology phytotherapy natural products 
17255630398072300451,3ZG-fAoAAAAJ,Gabriel Gonzalez L.,Universidad Católica del Norte,ucn,ucn.cl,3081,Seismotectoinics structural geology paleoseismology 
17255630398072300451,S6EqbJUAAAAJ,Wolfgang Stotz,Universidad Católica del Norte,ucn,ucn.cl,3067,ecologia marina pesquería artesanal 
17255630398072300451,UxwSaNwAAAAJ,Guillermo Luna-Jorquera,"Universidad Católica del Norte, Centre for Ecology and Sustainable Management of …",ucn,ucn.cl,3039,Seabird ecology and conservation 
17255630398072300451,GpOMN6UAAAAJ,Genly Leon,Academic at Universidad Católica del Norte,ucn,ucn.cl,2763,Dynamical systems Differential Equations Cosmology Mathematical physics 
17255630398072300451,ta-P6DkAAAAJ,Carlos F. Gaymer,"Profesor Asociado, Universidad Católica del Norte",ucn,ucn.cl,2603,Conservación marina ecología de … 
17255630398072300451,_2mJVnEAAAAJ,Cecilia Demergasso,Universidad Católica del Norte,ucn,ucn.cl,2523,Geomicrobiology of arid zones Biomining 
17255630398072300451,7B-fmIoAAAAJ,"Patricio E. Ramírez Correa, Ph.D.","Associate Professor, Universidad Católica del Norte (Chile)",ucn,ucn.cl,2421,Information Systems Management Psychology Technology Adoption 
17255630398072300451,hPZ8Y6gAAAAJ,Pilar A. Haye,"Profesor Titular, Departamento de Biología Marina, UCN, Chile.",ucn,ucn.cl,2191,evolutionary genetics molecular ecology marine biogeography 
17255630398072300451,cY-A0aMAAAAJ,Fadia Tala,Universidad Católica del Norte,ucn,ucn.cl,2154,Marine botany ecophysiology reproduction 
17255630398072300451,JW0Xp60AAAAJ,Enzo Acuña,"Professor of Biological Oceanography, Universidad Catolica del Norte, Chile",ucn,ucn.cl,2069,Biological Oceanography Ichthyology Marine Resources Assessment 
17255630398072300451,WfHkpIkAAAAJ,Guillermo Armando Ronda-Pupo,"Universidad Católica del Norte, Chile",ucn,ucn.cl,2062,Research Assessment Scientific Collaboration Strategic Management 
17255630398072300451,ttDg5ycAAAAJ,Rodrigo Riquelme,"Profesor Asociado, Universidad Católica del Norte, Chile",ucn,ucn.cl,1814,earth-science geology geomorphology 
17255630398072300451,8qY2AFAAAAAJ,Katherina Brokordt,"CEAZA (Center for Advanced Studies in Arid Zones) - Universidad Catolica del Norte, Chile",ucn,ucn.cl,1802,Animal Physiology and Genetics 
17255630398072300451,u22qo2oAAAAJ,Roberto A. Lineros,Universidad Católica del Norte,ucn,ucn.cl,1752,dark matter astroparticle physics 
17255630398072300451,eYImzwsAAAAJ,Anna Marcelina Wlodarczyk,"Profesora Asociada, Universidad Católica del Norte",ucn,ucn.cl,1550,social psychology |coping| intergroup … 
17255630398072300451,-jaNEe0AAAAJ,Claudio Coddou,Universidad Católica del Norte,ucn,ucn.cl,1523,señalización purinérgica 
17255630398072300451,rHf-mZMAAAAJ,Miguel Atienza,Universidad Católica del Norte,ucn,ucn.cl,1450,
17255630398072300451,mWGnD98AAAAJ,Pablo A. Miranda-Gonzalez,"Universidad Catolica del Norte, Professor and Researcher",ucn,ucn.cl,1448,Supply Chain Network Design Insular Vehicle Routing Operations Research Integer Programming Inventory Location Problems 
17255630398072300451,JIZ7FH8AAAAJ,Monica Guzmán-González,Académica Escuela de Psicología Universidad Católica del Norte,ucn,ucn.cl,1366,Apego adulto relaciones de pareja perdón en relaciones cercanas ajuste al divorcio y la separación 
17255630398072300451,WuEIl3EAAAAJ,ML Ladrón de Guevara,Universidad Católica del Norte,ucn,ucn.cl,1226,
17255630398072300451,zhfLxpoAAAAJ,Floria Carla Pancetti Vaccari,"Universidad Católica del Norte, Department of Biomedical Sciences",ucn,ucn.cl,1093,Neurotoxicology neuropharmacology 
17255630398072300451,af7CvKsAAAAJ,Marcel Emilio Ramos Quezada,Universidad Católica del Norte,ucn,ucn.cl,1040,Oceanografía Física Dinámica de sistemas de borde oriental 
17255630398072300451,m53Whe4AAAAJ,Luis Bravo,ESMOI-UCN,ucn,ucn.cl,980,Oceanografía Física Dinámica Costera 
17255630398072300451,e1mlaFwAAAAJ,Sören Scholvin,Universidad Católica del Norte,ucn,ucn.cl,914,Economic Geography 
