id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
605437563739143535,vjUabgsAAAAJ,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de …",usach,usach.cl,14287,electrochemistry electrocatalysis molecular electrochemistry fuel cells sensors 
605437563739143535,40JhpwoAAAAJ,Yenniffer Ávalos,"Assistant Professor, Universidad de Santiago de Chile",usach,usach.cl,9457,Autophagy primary cilium insulin signaling obesity high-fat diet 
605437563739143535,OLE-0rQAAAAJ,Cristóbal M. Espinoza,Universidad de Santiago de Chile,usach,usach.cl,6408,Pulsar astronomy Space physics 
605437563739143535,8fuNPLIAAAAJ,Francisco Melo,Departamento de Física Universidad de Santiago,usach,usach.cl,6107,soft matter 
605437563739143535,3Sgir38AAAAJ,Mikhail Plyushchay,Universidad de Santiago de Chile,usach,usach.cl,5451,Theoretical Physics Mathematical Physics Symmetries 
605437563739143535,Ou8EPYUAAAAJ,Maria Galotto,Universidad de Santiago de Chile,usach,usach.cl,4876,Food Packaging and Technology 
605437563739143535,j_0nksgAAAAJ,Dinesh Pratap Singh,"Department of Physics, University of Santiago, Chile (https://fisica.usach.cl/es)",usach,usach.cl,4300,Synthesis of nanomaterials Graphene based supercapacitors and  solar … Nanotribology Nanomedicine Nano-optics 
605437563739143535,BJhK_mgAAAAJ,Dora Altbir,"Physics Department, Universidad de Santiago de Chile",usach,usach.cl,4199,Nanoscience and Magnetism 
605437563739143535,Kh9TTGwAAAAJ,Lucia Dammert,Universidad de Santiago de Chile,usach,usach.cl,4089,crime latin america 
605437563739143535,SdFaw84AAAAJ,JL Gautier,Universidad de Santiago de Chile,usach,usach.cl,3786,Physicochemical and electrochemical … 
605437563739143535,ELMWDxoAAAAJ,Carlos Lizama,"Departamento de Matemática y Ciencia de la Computación, Universidad de Santiago de …",usach,usach.cl,3783,Evolution Equations Functional Analysis Fractional calculus Integro-differential equations Operator theory 
605437563739143535,AQGsfCIAAAAJ,Juan Escrig,Departamento de Física de la Universidad de Santiago de Chile,usach,usach.cl,3649,Nanomaterials Nanomagnetism Synthesis Characterization Micromagnetism 
605437563739143535,dG2WqtgAAAAJ,Maritza Paez,UNIVERSIDAD DE SANTIAGO DE CHILE,usach,usach.cl,3590,Corrosion Electroquimica 
