id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
9225498103198054248,16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,usm,usm.cl,199077,High Energy and Nuclear Physics 
9225498103198054248,v_0SXv4AAAAJ,Raquel Pezoa,Universidad Técnica Federico Santa María,usm,usm.cl,158869,artificial intelligence machine learning computer vision image processing 
9225498103198054248,X5xPjmkAAAAJ,Samir Kouro,Universidad Técnica Federico Santa María,usm,usm.cl,26490,Power Electronics Renewable Energy Multilevel Converters Wind Energy Electromobility 
9225498103198054248,0FY9s_UAAAAJ,Ivan Schmidt,"Physics Professor (Emeritus), Universidad Tecnica Federico Santa Maria",usm,usm.cl,23747,Particle Physics 
9225498103198054248,c9ql-BAAAAAJ,Marcelo A. Perez,Universidad Tecnica Federico Santa Maria,usm,usm.cl,14732,Power electronics multilevel converters smart grids 
9225498103198054248,3itZwbsAAAAJ,Patricio Cortes,"Universidad Tecnica Federico Santa Maria, Chile",usm,usm.cl,14706,Power Electronics Predictive Control 
9225498103198054248,Oa3Aze8AAAAJ,Ahmed El Alaoui,Universidad Tecnica Federico Santa Maria,usm,usm.cl,10726,Non-perturbative QCD Hadronization Nuclear medium effect Spin Physics Nucleon Structure 
9225498103198054248,-0gRNgsAAAAJ,Cesar Silva,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile",usm,usm.cl,8302,AC motor drives digital control of power converters 
9225498103198054248,ImrRuDsAAAAJ,Pablo Lezana,Universidad Técnica Federico Santa Maria,usm,usm.cl,7231,
9225498103198054248,KsLLafwAAAAJ,Michael Seeger,Universidad Tecnica Federico Santa Maria,usm,usm.cl,5361,microbiology botechnology 
9225498103198054248,fmh3SNcAAAAJ,Aleksey E. Kuznetsov,"Assistant Professor, Department of Chemistry, Universidad Tecnica Federico Santa Maria …",usm,usm.cl,4545,Computational chemistry tetrapyrroles graphenes anticorrosive coatings organometallic compounds 
9225498103198054248,_6PE3GsAAAAJ,Marcelo A. Soto,"Associate Professor, Department of Electronics Engineering, Universidad Técnica Federico …",usm,usm.cl,4514,Optical fiber sensors Optical amplification Nonlinear fiber optics 
9225498103198054248,uOC2s1AAAAAJ,Henrik Hansen,Universidad Tecnica Federico Santa Maria,usm,usm.cl,4258,Jorderensning tungmetalfjernelse adsorption electrocoagulation electrodialyse 
9225498103198054248,mYWIQd4AAAAJ,Patricio Vargas,"Professor of Theoretical Physics, Universidad Tecnica Federico Santa Maria",usm,usm.cl,3835,Quantum physics Magnetism Image processing 
9225498103198054248,oCwx6BkAAAAJ,Amir H. Rezaeian,"Department of Physics, Universidad Tecnica Federico Santa Maria",usm,usm.cl,3711,Particle Physics Heavy Ion Physics Artificial Intelligence Machine Learning 
9225498103198054248,Fe48yUYAAAAJ,Ricardo Simpson,Universidad Técnica Federico Santa María,usm,usm.cl,3404,Food Processing/Engineering 
9225498103198054248,v_u2SesAAAAJ,Pedro Landeros,"Departamento de Física, Universidad Técnica Federico Santa María, Chile",usm,usm.cl,3062,Condensed Matter Physics Magnetism Spintronics Magnonics Nanomagnetism 
9225498103198054248,T6e3MokAAAAJ,Juan Yianatos,Universidad Técnica Federico Santa María,usm,usm.cl,3055,Flotación Procesamiento de Minerales 
9225498103198054248,mfnr2oEAAAAJ,Juan I. Yuz,Universidad Tecnica Federico Santa Maria,usm,usm.cl,2866,Electronic Engineering Automatic Control System Identification 
9225498103198054248,Q1os61kAAAAJ,Monica Pacheco,"Professor of Theoretical Physics, Universidad Tecnica Federico Santa Maria",usm,usm.cl,2784,Nanostructures: optical and transport … 
9225498103198054248,3OCgG7wAAAAJ,Pedro Orellana,Universidad Técnica Federico Santa Maria,usm,usm.cl,2662,Condensed Matter Physics 
9225498103198054248,SWifA9sAAAAJ,Alexander Quaas,"Full professor, Math. Dep., UTFSM",usm,usm.cl,2387,Nonlinear Analysis PDE Partial Differential Equations Nonlocal Operators 
9225498103198054248,onKbDaIAAAAJ,Margarita Norambuena,"Research-Professor, Universidad Tecnica Federico Santa Maria",usm,usm.cl,2171,power electronics 
9225498103198054248,2YCiYHEAAAAJ,Sergio Almonacid,"UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA, Departamento de Ingeniería Química …",usm,usm.cl,2023,Food processing/Sustainable engineering 
9225498103198054248,1vhDro8AAAAJ,Werner Kristjanpoller,Universidad Técnica Federico Santa María,usm,usm.cl,1882,Finance Econometrics 
9225498103198054248,wSXnYFYAAAAJ,Juan C. Agüero,Universidad Tecnica Federico Santa Maria (Chile),usm,usm.cl,1864,System Identification Control Automatic Control Statistical Signal Processing 
9225498103198054248,32ekRVMAAAAJ,Hernan Astudillo,UTFSM,usm,usm.cl,1864,Software Architecture Heritage Computing 
9225498103198054248,Vj4mHpEAAAAJ,Matías Zañartu,"Department of Electronic Engineering, Universidad Técnica Federico Santa María",usm,usm.cl,1825,Voice Production Speech Science Voice Disorders Acoustic Signal Processing Biomedical Engineering 
9225498103198054248,0LgnrDEAAAAJ,Patricio A. Catalan,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1781,tsunamis nearshore processes 
9225498103198054248,VjmgcGIAAAAJ,Claudio Eduardo Aguilar Ramírez,Universidad Técnica Federico Santa Maria,usm,usm.cl,1751,Advanced materials Metallurgy Powder Metallurgy Thermodynamics Ti-based alloys 
9225498103198054248,Y7-gCmAAAAAJ,Andres Fuentes,Universidad Técnica Federico Santa María,usm,usm.cl,1740,Energy Conversion Combustion Fire Engineering Microgravity 
9225498103198054248,Q2P4D4wAAAAJ,Francisco Cereceda-Balic,Professor Universidad Tecnica Federico Santa Maria,usm,usm.cl,1612,Environment pollution chemistry atmosphere soil 
9225498103198054248,sCxmQKQAAAAJ,Roger Rodrigo Galindo Orjuela,"Ph.D student, Universidad Tecnica Federico Santa Maria",usm,sansan,1506,Experimental High Energy Physics Neutrino Physics Physics Education 
9225498103198054248,5gyHl_kAAAAJ,Ioannis Vourkas,"Universidad Técnica Federico Santa María, Valparaíso, Chile",usm,usm.cl,1329,Nanoelectronics Memristor Resistive Switching Devices Resistive RAM Cellular Automata 
9225498103198054248,W_-UyZ8AAAAJ,Eric Suarez Morell,Professor at Universidad Técnica Federico Santa María,usm,usm.cl,1326,Graphene 2D Materials Topological Insulators twistronics 
9225498103198054248,Y12762cAAAAJ,N. Pugazhenthiran,"Assistant Professor, Department of Chemistry, Universidad Técnica Federico Santa María …",usm,usm.cl,1309,Photocatalysis Waste water treatment Capacitive deionization Green synthesis of metal nanoparticles Photovoltaics and Antimi 
9225498103198054248,2m8bkeEAAAAJ,Carlos Buil Aranda,Universidad Técnica Federico Santa María (Chile),usm,inf.ut,1277,graph databases semantic web 
9225498103198054248,T7VDAw4AAAAJ,Enrique Otarola,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1232,Numerical Analysis Finite Element Methods Fractional Diffusion Optimal Control 
9225498103198054248,V9BgXgMAAAAJ,Maria Cristina Riff,Universidad Técnica Federico Santa María,usm,inf.ut,1211,Evolutionary Algorithms Metaheuristics Combinatorial Optimisation Real-world Problems Augmented Intelligence 
9225498103198054248,3MsFGHcAAAAJ,Esteban Gil,Universidad Técnica Federico Santa María,usm,usm.cl,1180,Power Systems Renewable Energy Probabilistic Methods Optimization 
9225498103198054248,k2oQ2A4AAAAJ,Carlos Garcia Garcia,"Universidad Tecnica Federico Santa Maria, Department of Physics, Chile",usm,usm.cl,1179,Solid State Physics nanotechnology 
9225498103198054248,BQcTIkIAAAAJ,Beatriz Camara,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1136,microbiology 
9225498103198054248,U_9AGB0AAAAJ,Mario Toledo Torres,"Departamento de Ingeniería Mecánica, Universidad Técnica Federico Santa María",usm,usm.cl,1119,Combustion Hydrogen Syngas Solar Fuels 
9225498103198054248,JtCJHngAAAAJ,Alfonso R. Zerwekh,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1116,High energy Physics Particle Physics Collider Phenomenology Dark Matter 
9225498103198054248,iV8ZDF0AAAAJ,Rodolfo Feick,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1102,Wireless Communications 
9225498103198054248,FrKvNOYAAAAJ,Cristian Ramirez,"Investigador Asociado, Universidad Tecnica Federico Santa María",usm,usm.cl,1086,food science and technology 
9225498103198054248,D5AezWkAAAAJ,Marat Siddikov,Universidad Técnica Federico Santa María,usm,usm.cl,1078,High Energy Physics 
9225498103198054248,AxG8_toAAAAJ,Jhon W. González,"Universidad Técnica Federico Santa María, Valparaiso-Chile",usm,usm.cl,1056,2D materials Magnetic Clusters Materials Science Structure Prediction Noncollinear Magnetism 
9225498103198054248,boA_ngoAAAAJ,Hugues Renaudineau,Universidad Técnica Federico Santa María,usm,usm.cl,1028,Power Electronics Renewable Energies 
9225498103198054248,YLin4W4AAAAJ,Luis M. Briceño-Arias,Universidad Técnica Federico Santa María,usm,usm.cl,1024,
9225498103198054248,dVZO4RgAAAAJ,Mauricio Solar,Universidad Tecnica Federico Santa Maria,usm,usm.cl,979,inteligencia artificial parallel computing big data 
9225498103198054248,27SqpPsAAAAJ,Hector Ramirez Estay,Universidad Tecnica Federico Santa Maria,usm,usm.cl,952,systems and control theory port-Hamiltonian systems 
9225498103198054248,-Fkz0PwAAAAJ,Andrés Mora,"Assistant Professor, Electrical Engineering Department, Universidad Técnica Federico …",usm,usm.cl,879,Electrical Drives Power Converters and Renewable Energy … 
9225498103198054248,K2dY8ckAAAAJ,Michael Karkulik,"Department of Mathematics, Universidad Técnica Federico Santa María",usm,usm.cl,835,Numerical analysis of partial differential and … 
9225498103198054248,XPMLIcgAAAAJ,Rodolfo Gallardo,Universidad Técnica Federico Santa María,usm,usm.cl,822,Ferromagnetic Resonance. Spin Dynamics … 
9225498103198054248,orcNk7gAAAAJ,Dr. Bernhard Hitpass,Profesor de Informática USM,usm,usm.cl,751,Process Achitecture Enterprise Architecture (EA) BPMN BPM Business Models 
9225498103198054248,lI527WQAAAAJ,Luis Rosales,"Physics Department, Universidad Técnica Federico Santa María",usm,usm.cl,743,Nanoscience graphene Transport properties 
9225498103198054248,NPPEf1QAAAAJ,Derek Frydel,"Chemistry Department, Universidad Técnica Federico Santa María, Chile",usm,usm.cl,729,Physical Chemistry Statistical Mechanics Dynamics Soft Matter 
9225498103198054248,hrFRk9IAAAAJ,Benjamin Guiot,University Tecnica Federico Santa Maria (UTFSM),usm,usm.cl,703,
9225498103198054248,vw1dhvcAAAAJ,Claudia López,Universidad Técnica Federico Santa María,usm,usm.cl,692,Social computing 
9225498103198054248,WAX-b1EAAAAJ,Juan Pavez,Graduate Student. Universidad Técnica Federico Santa María.,usm,alumno,692,Deep Learning Artificial Intelligence Machine Learning Probability and Statistics 
9225498103198054248,c_m4HpkAAAAJ,Carolina Garín Correa,"Profesora de Química, Universidad Técnica Federico Santa María",usm,usm.cl,683,Ciencia de materiales nanotecnología biocorrosión 
9225498103198054248,J6BRiDwAAAAJ,Diego Arroyuelo,"Departamento de Informática, Universidad Técnica Federico Santa María",usm,inf.ut,667,Algorithms and Data Structures Text Compression Data Structure Compression Information Retrieval 
9225498103198054248,ZbUWys4AAAAJ,Marcelo J. Villena,"Profesor de Economía & Finanzas, Universidad Técnica Federico Santa María",usm,usm.cl,636,Applied Economics - Public Policy - Financial … 
9225498103198054248,EQfyAUAAAAAJ,Maria Jose Escobar,"Universidad Técnica Federico Santa María, Electronics Department",usm,usm.cl,635,Computational Neuroscience Biological Vision Video Analysis Computer Vision 
9225498103198054248,7Xn_NGAAAAAJ,Ronny Vallejos,"Profesor de Matemática, Universidad Técnica Federico Santa María",usm,usm.cl,627,Estadística espacial Modelamiento de imágenes Series de Tiempo 
9225498103198054248,CWfNYmMAAAAJ,Mohamed Abdelhamid,"Universidad Técnica Federico Santa María, Valparaíso, Chile",usm,usm.cl,598,WSN IoT Cyber Physical System Electric Vehicles Smart Grid 
9225498103198054248,2NjccrYAAAAJ,Fredy Kristjanpoller,Universidad Tecnica Federico Santa Maria,usm,usm.cl,579,Reliability Asset Management 
9225498103198054248,AaMzLNsAAAAJ,Rodrigo Delgadillo,"Departamento de Ingeniería Civil, Universidad Técnica Federico Santa María, Chile",usm,usm.cl,570,Diseño Estructural de Pavimentos Materiales para Pavimentos 
9225498103198054248,1ZoVu1wAAAAJ,Alejandro Angulo,Universidad Técnica Federico Santa María,usm,usm.cl,570,Power Systems Renewable Energy Electric Machines and Drives Optimization Numerical Methods for PDE 
9225498103198054248,fGoYA64AAAAJ,Christian Pablo Romero Vieyra,UTFSM,usm,usm.cl,568,fisica del estado solido 
9225498103198054248,kNfcNMQAAAAJ,Milan S. Derpich,"Department of Electronic Engineering, Universidad Técnica Federico Santa María, Chile",usm,usm.cl,566,Rate-Distortion Theory Signal Processing Networked Control Sampling and Quantization Communications Theory 
9225498103198054248,iSLROWUAAAAJ,Harvey A. Zambrano,Universidad Técnica Federico Santa María,usm,usm.cl,558,MicroNanofluidics Supercomputing Molecular and Atomistic simulations 
